key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Word,Experiment,root_syllable,phonemes_firstsyllable,spatial_verb,Number_of_morphemes,lexical_freq,lex_freq_lexesp,Item_Type,list,wav,CorrResp,CorrRespNumb,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,CorRespNumb,key_resp_5.keys,key_resp_5.rt
,,,,,,,,,,,,venia,InflectionalVerbs,NA,NA,NA,2,High,50.81,word,3,venia.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,1.83,0,64,64,64,1,1,,
,,,,,,,,,,,,pumiais,InflectionalVerbs,NA,NA,NA,NA,NA,NA,pseudoword,3,pumiais.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,2.026,0,65,65,65,1,0,,
,,,,,,,,,,,,juonsuto,morfosyllable,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",juonsuto.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,1.013,0,66,66,66,1,0,,
,,,,,,,,,,,,pelito,morfosyllable,diferente,NA,NA,NA,NA,NA,word,"1,2and3",pelito.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,0.528,0,67,67,67,1,1,,
,,,,,,,,,,,,carrito,morfosyllable,diferente,NA,NA,NA,NA,NA,word,"1,2and3",carrito.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,0.444,0,68,68,68,1,1,,
,,,,,,,,,,,,molia,InflectionalVerbs,NA,NA,NA,2,Low,0.71,word,3,molia.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,0.942,0,69,69,69,1,1,,
,,,,,,,,,,,,vertia,InflectionalVerbs,NA,NA,NA,2,Low,1.24,word,3,vertia.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,0,1.658,0,70,70,70,1,1,,
,,,,,,,,,,,,anotar,visuospatial,NA,NA,no,NA,NA,NA,word,"1,2and3",anotar.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,0.926,0,71,71,71,1,1,,
,,,,,,,,,,,,puartuto,morfosyllable,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",puartuto.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,1.193,0,72,72,72,1,0,,
,,,,,,,,,,,,barcito,morfosyllable,coincidente,3,NA,NA,NA,NA,word,"1,2and3",barcito.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,0,3.395,0,73,73,73,1,1,,
,,,,,,,,,,,,afirmar,visuospatial,NA,NA,no,NA,NA,NA,word,"1,2and3",afirmar.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,0.624,0,74,74,74,1,1,,
,,,,,,,,,,,,agartar,visuospatial,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",agartar.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,2.06,0,75,75,75,1,0,,
,,,,,,,,,,,,apitar,visuospatial,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",apitar.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,0.859,0,76,76,76,1,0,,
,,,,,,,,,,,,mordiais,InflectionalVerbs,NA,NA,NA,4,Low,3.55,word,3,mordiais.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,1.543,0,77,77,77,1,1,,
,,,,,,,,,,,,pielcita,morfosyllable,coincidente,4,NA,NA,NA,NA,word,"1,2and3",pielcita.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,0,4.643,0,78,78,78,1,1,,
,,,,,,,,,,,,acercar,visuospatial,NA,NA,yes,NA,NA,NA,word,"1,2and3",acercar.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,0.68,0,79,79,79,1,1,,
,,,,,,,,,,,,alubar,visuospatial,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",alubar.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,2.105,0,80,80,80,1,0,,
,,,,,,,,,,,,arentar,visuospatial,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",arentar.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,1.11,0,81,81,81,1,0,,
,,,,,,,,,,,,volvia,InflectionalVerbs,NA,NA,NA,2,High,120.09,word,3,volvia.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,1.011,0,82,82,82,1,1,,
,,,,,,,,,,,,duduto,morfosyllable,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",duduto.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,1.778,0,83,83,83,1,0,,
,,,,,,,,,,,,laguito,morfosyllable,diferente,NA,NA,NA,NA,NA,word,"1,2and3",laguito.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,0,1.759,0,84,84,84,1,1,,
,,,,,,,,,,,,asuibar,visuospatial,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",asuibar.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,0.745,0,85,85,85,1,0,,
,,,,,,,,,,,,girtia,InflectionalVerbs,NA,NA,NA,NA,NA,NA,pseudoword,3,girtia.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,3.574,0,86,86,86,1,0,,
,,,,,,,,,,,,plancito,morfosyllable,coincidente,4,NA,NA,NA,NA,word,"1,2and3",plancito.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,0,0.612,0,87,87,87,1,1,,
,,,,,,,,,,,,mogiais,InflectionalVerbs,NA,NA,NA,NA,NA,NA,pseudoword,3,mogiais.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,2.341,0,88,88,88,1,0,,
,,,,,,,,,,,,abriais,InflectionalVerbs,NA,NA,NA,4,High,48.85,word,3,abriais.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,0.609,0,89,89,89,1,1,,
,,,,,,,,,,,,litruto,morfosyllable,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",litruto.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,0.693,0,90,90,90,1,0,,
,,,,,,,,,,,,fundia,InflectionalVerbs,NA,NA,NA,2,Low,1.78,word,3,fundia.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,1.021,0,91,91,91,1,1,,
,,,,,,,,,,,,limuto,morfosyllable,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",limuto.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,0.722,0,92,92,92,1,0,,
,,,,,,,,,,,,leiais,InflectionalVerbs,NA,NA,NA,4,High,70.17,word,3,leiais.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,0.726,0,93,93,93,1,1,,
,,,,,,,,,,,,ratito,morfosyllable,diferente,NA,NA,NA,NA,NA,word,"1,2and3",ratito.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,0.508,0,94,94,94,1,1,,
,,,,,,,,,,,,dedito,morfosyllable,diferente,NA,NA,NA,NA,NA,word,"1,2and3",dedito.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,0.361,0,95,95,95,1,1,,
,,,,,,,,,,,,metias,InflectionalVerbs,NA,NA,NA,3,High,23.09,word,3,metias.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,0.843,0,96,96,96,1,1,,
,,,,,,,,,,,,retuto,morfosyllable,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",retuto.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,0.942,0,97,97,97,1,0,,
,,,,,,,,,,,,golcito,morfosyllable,coincidente,3,NA,NA,NA,NA,word,"1,2and3",golcito.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,0.674,0,98,98,98,1,1,,
,,,,,,,,,,,,perdiais,InflectionalVerbs,NA,NA,NA,4,High,78.87,word,3,perdiais.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,0.477,0,99,99,99,1,1,,
,,,,,,,,,,,,juancito,morfosyllable,coincidente,4,NA,NA,NA,NA,word,"1,2and3",juancito.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,0,0.494,0,100,100,100,1,1,,
,,,,,,,,,,,,remuta,morfosyllable,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",remuta.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,1.088,0,101,101,101,1,0,,
,,,,,,,,,,,,aprongar,visuospatial,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",aprongar.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,1.258,0,102,102,102,1,0,,
,,,,,,,,,,,,vasito,morfosyllable,diferente,NA,NA,NA,NA,NA,word,"1,2and3",vasito.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,1,1,0.38,0,103,103,103,1,1,,
,,,,,,,,,,,,pensuto,morfosyllable,NA,NA,NA,NA,NA,NA,pseudoword,"1,2and3",pensuto.wav,right,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,1,0.674,0,104,104,104,1,0,,
,,,,,,,,,,,,yaciais,InflectionalVerbs,NA,NA,NA,4,Low,1.42,word,3,yaciais.wav,left,,L2SPAN_2023_41,2023-09-08_21h39.19.980,auditory_ldt_2023_esp_list3,2021.1.1,MacIntel,76.92307692,,,0,0,1.351,0,105,105,105,1,1,,
